group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
23b,7,8,8,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,7.1
23b,8,8,8,-,-,-,-,S¹,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,8.11
23b,8,8,8,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,7,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,12.0,7.44
23b,8,8,8,-,-,-,-,-,-,-,-,9,9,7,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,8,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,8.0
23b,8,8,8,-,-,-,-,-,-,-,-,9,9,8,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,10,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,8.7
23b,8,7,7,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,12.0,8.22
23b,8,9,9,-,-,-,-,-,-,-,-,7,7,8,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,8,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,7.8
23b,8,10,10,-,-,-,-,-,-,-,-,8,8,8,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,8.7
23b,8,9,9,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,7.4
23b,8,10,10,-,-,-,-,S¹,-,-,-,8,8,9,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.0,16.0,8.9
23b,9,8,8,-,-,-,-,-,-,-,-,9,9,9,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,9,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,9.0
23b,9,8,8,-,-,-,-,-,-,-,-,9,8,9,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,10,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,9.0
23b,9,9,9,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,9,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,12.0,9.0
23b,9,9,9,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,12.0,8.78
23b,9,9,9,-,-,-,-,-,-,-,-,9,9,10,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,10,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,9.5
23b,9,9,9,-,-,-,-,-,-,-,-,7,7,9,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,7,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,8.0
